canberra | 0.001 | 0.6245549917221069
canberra | 0.01 | 0.6053299307823181
canberra | 0.1 | 0.5480979681015015
canberra | 0.15 | 0.5493230223655701
canberra | 0.2 | 0.5322329998016357
canberra | 0.25 | 0.5191090106964111
braycurtis | 0.001 | 0.6645969748497009
braycurtis | 0.01 | 0.6038740277290344
braycurtis | 0.1 | 0.5096150040626526
braycurtis | 0.15 | 0.5381479263305664
braycurtis | 0.2 | 0.5071009993553162
braycurtis | 0.25 | 0.4894009828567505
seuclidean | 0.001 | 0.6149049401283264
seuclidean | 0.01 | 0.6017850637435913
seuclidean | 0.1 | 0.6114299297332764
seuclidean | 0.15 | 0.5973359942436218
seuclidean | 0.2 | 0.5667939186096191
seuclidean | 0.25 | 0.5500909686088562
euclidean | 0.001 | 0.6703528761863708
euclidean | 0.01 | 0.6638379693031311
euclidean | 0.1 | 0.5625699758529663
euclidean | 0.15 | 0.5297159552574158
euclidean | 0.2 | 0.533381998538971
euclidean | 0.25 | 0.4884929955005646
cosine | 0.001 | 0.6518959999084473
cosine | 0.01 | 0.5940079689025879
cosine | 0.1 | 0.5234389901161194
cosine | 0.15 | 0.5003439784049988
cosine | 0.2 | 0.49511799216270447
cosine | 0.25 | 0.49933600425720215
correlation | 0.001 | 0.4998609721660614
correlation | 0.01 | 0.48083996772766113
correlation | 0.1 | 0.33455100655555725
correlation | 0.15 | 0.3008739948272705
correlation | 0.2 | 0.24896200001239777
correlation | 0.25 | 0.2142449915409088
cityblock | 0.001 | 0.6717600226402283
cityblock | 0.01 | 0.6661049723625183
cityblock | 0.1 | 0.5267170667648315
cityblock | 0.15 | 0.5136539936065674
cityblock | 0.2 | 0.4953789710998535
cityblock | 0.25 | 0.5023850202560425
chebyshev | 0.001 | 0.6520589590072632
chebyshev | 0.01 | 0.649306058883667
chebyshev | 0.1 | 0.5952459573745728
chebyshev | 0.15 | 0.5409079790115356
chebyshev | 0.2 | 0.5194050073623657
chebyshev | 0.25 | 0.504656970500946
